Date,Adj Close,differenced_trasnformation_demand,differenced_demand_filled,differenced_inv_transformation_demand,date,year,month,week,day,dayofweek,week_of_month,is_weekend
2010-07-15,7.710681,-0.03925299999999954,-0.03925299999999954,7.710681,2010-07-15,2010,7,28,15,3,3,0
2010-07-16,7.663153,-0.04752799999999979,-0.04752799999999979,7.663153,2010-07-16,2010,7,28,16,4,3,0
2010-07-19,7.53068,-0.13247300000000006,-0.13247300000000006,7.53068,2010-07-19,2010,7,29,19,0,3,0
2010-07-20,7.724175,0.19349499999999953,0.19349499999999953,7.724175,2010-07-20,2010,7,29,20,1,3,0
2010-07-21,7.796236,0.0720610000000006,0.0720610000000006,7.796236,2010-07-21,2010,7,29,21,2,3,0
2010-07-22,7.9428149999999995,0.14657899999999913,0.14657899999999913,7.9428149999999995,2010-07-22,2010,7,29,22,3,4,0
2010-07-23,7.971029,0.028214000000000183,0.028214000000000183,7.971029,2010-07-23,2010,7,29,23,4,4,0
2010-07-26,7.950789,-0.02023999999999937,-0.02023999999999937,7.950789,2010-07-26,2010,7,30,26,0,4,0
2010-07-27,8.09798,0.1471909999999994,0.1471909999999994,8.09798,2010-07-27,2010,7,30,27,1,4,0
2010-07-28,8.002303999999999,-0.09567600000000098,-0.09567600000000098,8.002303999999999,2010-07-28,2010,7,30,28,2,4,0
2010-07-29,7.914910000000001,-0.08739399999999797,-0.08739399999999797,7.914910000000001,2010-07-29,2010,7,30,29,3,5,0
2010-07-30,7.8885380000000005,-0.026372000000000284,-0.026372000000000284,7.8885380000000005,2010-07-30,2010,7,30,30,4,5,0
2010-08-02,8.029597,0.14105900000000027,0.14105900000000027,8.029597,2010-08-02,2010,8,31,2,0,1,0
2010-08-03,8.032052,0.00245499999999943,0.00245499999999943,8.032052,2010-08-03,2010,8,31,3,1,1,0
2010-08-04,8.064246,0.0321940000000005,0.0321940000000005,8.064246,2010-08-04,2010,8,31,4,2,1,0
2010-08-05,8.024995,-0.03925100000000015,-0.03925100000000015,8.024995,2010-08-05,2010,8,31,5,3,1,0
2010-08-06,7.975625999999999,-0.04936900000000133,-0.04936900000000133,7.975625999999999,2010-08-06,2010,8,31,6,4,1,0
2010-08-09,8.026533,0.05090700000000137,0.05090700000000137,8.026533,2010-08-09,2010,8,32,9,0,2,0
2010-08-10,7.954777,-0.0717560000000006,-0.0717560000000006,7.954777,2010-08-10,2010,8,32,10,1,2,0
2010-08-11,7.672045,-0.2827320000000002,-0.2827320000000002,7.672045,2010-08-11,2010,8,32,11,2,2,0
2010-08-12,7.721108,0.0490630000000003,0.0490630000000003,7.721108,2010-08-12,2010,8,32,12,3,2,0
2010-08-13,7.6386199999999995,-0.08248800000000056,-0.08248800000000056,7.6386199999999995,2010-08-13,2010,8,32,13,4,2,0
2010-08-16,7.5938479999999995,-0.044772000000000034,-0.044772000000000034,7.5938479999999995,2010-08-16,2010,8,33,16,0,3,0
2010-08-17,7.726628999999999,0.1327809999999996,0.1327809999999996,7.726628999999999,2010-08-17,2010,8,33,17,1,3,0
2010-08-18,7.760362,0.03373300000000068,0.03373300000000068,7.760362,2010-08-18,2010,8,33,18,2,3,0
2010-08-19,7.662539,-0.097823,-0.097823,7.662539,2010-08-19,2010,8,33,19,3,3,0
2010-08-20,7.655177,-0.007361999999999647,-0.007361999999999647,7.655177,2010-08-20,2010,8,33,20,4,3,0
2010-08-23,7.537425999999999,-0.11775100000000105,-0.11775100000000105,7.537425999999999,2010-08-23,2010,8,34,23,0,4,0
2010-08-24,7.357423,-0.18000299999999925,-0.18000299999999925,7.357423,2010-08-24,2010,8,34,24,1,4,0
2010-08-25,7.448189999999999,0.0907669999999996,0.0907669999999996,7.448189999999999,2010-08-25,2010,8,34,25,2,4,0
2010-08-26,7.368156,-0.0800339999999995,-0.0800339999999995,7.368156,2010-08-26,2010,8,34,26,3,4,0
2010-08-27,7.409246,0.041090000000000515,0.041090000000000515,7.409246,2010-08-27,2010,8,34,27,4,4,0
2010-08-30,7.43623,0.026983999999999675,0.026983999999999675,7.43623,2010-08-30,2010,8,35,30,0,5,0
2010-08-31,7.45463,0.01839999999999975,0.01839999999999975,7.45463,2010-08-31,2010,8,35,31,1,5,0
2010-09-01,7.676336,0.22170600000000018,0.22170600000000018,7.676336,2010-09-01,2010,9,35,1,2,1,0
2010-09-02,7.732761999999999,0.0564259999999992,0.0564259999999992,7.732761999999999,2010-09-02,2010,9,35,2,3,1,0
2010-09-03,7.935148,0.20238600000000062,0.20238600000000062,7.935148,2010-09-03,2010,9,35,3,4,1,0
2010-09-07,7.905711999999999,-0.029436000000000462,-0.029436000000000462,7.905711999999999,2010-09-07,2010,9,36,7,1,1,0
2010-09-08,8.062407,0.15669500000000092,0.15669500000000092,8.062407,2010-09-08,2010,9,36,8,2,2,0
2010-09-09,8.067008999999999,0.004601999999998441,0.004601999999998441,8.067008999999999,2010-09-09,2010,9,36,9,3,2,0
2010-09-10,8.077435000000001,0.010426000000002489,0.010426000000002489,8.077435000000001,2010-09-10,2010,9,36,10,4,2,0
2010-09-13,8.188748,0.11131299999999911,0.11131299999999911,8.188748,2010-09-13,2010,9,37,13,0,2,0
2010-09-14,8.220025999999999,0.031277999999998585,0.031277999999998585,8.220025999999999,2010-09-14,2010,9,37,14,1,2,0
2010-09-15,8.286263,0.06623700000000099,0.06623700000000099,8.286263,2010-09-15,2010,9,37,15,2,3,0
2010-09-16,8.480985,0.1947220000000005,0.1947220000000005,8.480985,2010-09-16,2010,9,37,16,3,3,0
2010-09-17,8.444185000000001,-0.0367999999999995,-0.0367999999999995,8.444185000000001,2010-09-17,2010,9,37,17,4,3,0
2010-09-20,8.685212,0.241026999999999,0.241026999999999,8.685212,2010-09-20,2010,9,38,20,0,3,0
2010-09-21,8.701772,0.01656000000000013,0.01656000000000013,8.701772,2010-09-21,2010,9,38,21,1,3,0
2010-09-22,8.823818,0.12204599999999921,0.12204599999999921,8.823818,2010-09-22,2010,9,38,22,2,4,0
2010-09-23,8.859694000000001,0.035876000000001795,0.035876000000001795,8.859694000000001,2010-09-23,2010,9,38,23,3,4,0
2010-09-24,8.963955,0.10426099999999927,0.10426099999999927,8.963955,2010-09-24,2010,9,38,24,4,4,0
2010-09-27,8.928383,-0.03557200000000016,-0.03557200000000016,8.928383,2010-09-27,2010,9,39,27,0,4,0
2010-09-28,8.796526,-0.1318570000000001,-0.1318570000000001,8.796526,2010-09-28,2010,9,39,28,1,4,0
2010-09-29,8.812161,0.01563499999999962,0.01563499999999962,8.812161,2010-09-29,2010,9,39,29,2,5,0
2010-09-30,8.701159,-0.11100199999999916,-0.11100199999999916,8.701159,2010-09-30,2010,9,39,30,3,5,0
2010-10-01,8.663439,-0.0377200000000002,-0.0377200000000002,8.663439,2010-10-01,2010,10,39,1,4,1,0
2010-10-04,8.544458,-0.11898099999999978,-0.11898099999999978,8.544458,2010-10-04,2010,10,40,4,0,1,0
2010-10-05,8.860308999999999,0.31585099999999855,0.31585099999999855,8.860308999999999,2010-10-05,2010,10,40,5,1,1,0
2010-10-06,8.867973,0.007664000000000115,0.007664000000000115,8.867973,2010-10-06,2010,10,40,6,2,1,0
2010-10-07,8.868895,0.0009220000000009776,0.0009220000000009776,8.868895,2010-10-07,2010,10,40,7,3,1,0
2010-10-08,9.017621,0.1487259999999999,0.1487259999999999,9.017621,2010-10-08,2010,10,40,8,4,2,0
2010-10-11,9.057176,0.03955500000000001,0.03955500000000001,9.057176,2010-10-11,2010,10,41,11,0,2,0
2010-10-12,9.154688,0.09751200000000004,0.09751200000000004,9.154688,2010-10-12,2010,10,41,12,1,2,0
2010-10-13,9.203755000000001,0.04906700000000086,0.04906700000000086,9.203755000000001,2010-10-13,2010,10,41,13,2,2,0
2010-10-14,9.270296,0.06654099999999907,0.06654099999999907,9.270296,2010-10-14,2010,10,41,14,3,2,0
2010-10-15,9.651464,0.3811680000000006,0.3811680000000006,9.651464,2010-10-15,2010,10,41,15,4,3,0
2010-10-18,9.751429,0.0999649999999992,0.0999649999999992,9.751429,2010-10-18,2010,10,42,18,0,3,0
2010-10-19,9.490472,-0.26095699999999944,-0.26095699999999944,9.490472,2010-10-19,2010,10,42,19,1,3,0
2010-10-20,9.522362,0.031889999999998864,0.031889999999998864,9.522362,2010-10-20,2010,10,42,20,2,3,0
2010-10-21,9.491387,-0.030974999999999753,-0.030974999999999753,9.491387,2010-10-21,2010,10,42,21,3,3,0
2010-10-22,9.428528,-0.06285899999999955,-0.06285899999999955,9.428528,2010-10-22,2010,10,42,22,4,4,0
2010-10-25,9.470536,0.04200799999999916,0.04200799999999916,9.470536,2010-10-25,2010,10,43,25,0,4,0
